column,run,charge_ave,charge_ave_err,IPM2C21A_corr3,IPM2C24A_corr3,IPM2H01_corr3
318,18691,0.001030177,5.35285E-06,0.001037743,0.001026196,0.001026592
319,18692,0.123296565,0.000296034,0.12371511,0.123095631,0.123078955
320,18693,0.847240424,0.002197895,0.85034633,0.84579293,0.845582011
321,18694,0.877391596,0.002119519,0.880387411,0.875979472,0.875807905
322,18696,0.59994788,0.001208247,0.601250243,0.598338744,0.600254653
323,18697,0.440605854,0.001033662,0.442067267,0.439904977,0.439845318
324,18698,0.38053088,0.000699316,0.381519854,0.380032821,0.380039965
325,18699,0.374799672,0.000904029,0.3760718,0.374273934,0.374053283
326,18700,0.183335804,0.000430292,0.183943965,0.183013512,0.183049934
327,18701,0.674366322,0.001827754,0.676942711,0.673258951,0.672897305
328,18702,0.322992972,0.000717035,0.324006925,0.322474422,0.322497569
329,18703,0.264128331,0.000685795,0.265088745,0.263765063,0.263531184
330,18704,0.833975982,0.002093816,0.836922666,0.832755409,0.832249872
331,18705,0.840634099,0.002058912,0.843544322,0.839260385,0.83909759
332,18707,0.001461763,9.86279E-06,0.001474797,0.001459546,0.001450945
333,18708,0.875483865,0.002240365,0.878650784,0.873983013,0.873817798
334,18709,0.411608518,0.001093072,0.413140658,0.411020267,0.410664629
335,18711,0.871769185,0.002370537,0.875120729,0.870160733,0.870026092
336,18712,0.801875982,0.00186246,0.804498289,0.80077875,0.800350906
337,18713,0.338178358,0.000840156,0.33936483,0.33763995,0.337530294
338,18714,0.760534103,0.00199792,0.763343,0.759394422,0.758864888
339,18715,0.871565657,0.002439467,0.87495922,0.870406737,0.869331012
340,18716,0.873773857,0.002447733,0.877233782,0.872137591,0.871950197
341,18717,0.507866486,0.001377127,0.509806799,0.507041619,0.50675104
342,18718,0.88220889,0.00238585,0.885548443,0.880956201,0.880122027
343,18719,0.875497753,0.002366341,0.878836046,0.874031603,0.873625611
344,18720,0.049807006,0.000182724,0.050052683,0.049753553,0.049614782
345,18721,0.868283039,0.002410202,0.871683041,0.86679185,0.866374226
346,18723,0.052466931,0.000111878,0.05261756,0.052349686,0.052433546
347,18724,0.092699522,0.000317348,0.093146399,0.092512014,0.092440154
348,18725,0.519269643,0.001435493,0.521281205,0.518500875,0.518026849
349,18726,0.010909477,2.55855E-05,0.010937103,0.010875427,0.010915899
350,18727,0.577278799,0.001630109,0.579584106,0.57613338,0.576118912
351,18728,0.203436031,0.000688143,0.204409194,0.202944258,0.20295464
352,18729,0.592757596,0.001614853,0.595008477,0.591966482,0.591297829
353,18730,0.882562102,0.002367528,0.885906388,0.881029955,0.880749963
354,18731,0.112113036,0.000297077,0.112533127,0.111907933,0.111898048
355,18732,0.063006983,0.000162032,0.063235791,0.06288179,0.062903367
359,18736,0.866117965,0.002536599,0.86970119,0.864474275,0.864178432
360,18737,0.020030196,6.07316E-05,0.020111232,0.020014324,0.019965033
361,18738,0.006558664,1.78614E-05,0.006583924,0.006545953,0.006546116
362,18739,0.017026188,7.11924E-05,0.017124052,0.016956775,0.016997737
363,18740,0.867142237,0.003309886,0.871818186,0.864618132,0.864990394
364,18741,0.531255538,0.001453469,0.533297595,0.53043788,0.53003114
365,18742,0.034012117,0.00012732,0.034190595,0.033902269,0.033943485
366,18743,0.878006035,0.002820497,0.88199226,0.876136648,0.875889197
367,18744,0.594205339,0.001970165,0.596972942,0.593100116,0.592542959
368,18745,0.871105369,0.002691435,0.87489053,0.869559418,0.868866159
369,18746,0.868976504,0.002603479,0.872654454,0.867284725,0.866990332
370,18747,0.607893305,0.001731385,0.610334535,0.606836519,0.606508861
371,18748,0.009014363,2.46968E-05,0.009049265,0.008995771,0.008998053
372,18749,0.673859952,0.001918024,0.67657203,0.67254519,0.672462637
